Year,Country_Name,Nombre_País,Cod_Na_UIS,Sex,Sexo,Age,Value
1990,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,0-4,1235
1995,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,0-4,1507
2000,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,0-4,1825
2005,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,0-4,1290
2010,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,0-4,835
2015,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,0-4,232
2020,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,0-4,242
1990,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,0-4,450
1995,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,0-4,376
2000,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,0-4,322
2005,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,0-4,144
2010,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,0-4,29
2015,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,0-4,61
2020,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,0-4,105
1990,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,0-4,43254
1995,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,0-4,33371
2000,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,0-4,28644
2005,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,0-4,24206
2010,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,0-4,16930
2015,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,0-4,18203
2020,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,0-4,18483
1990,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,0-4,10923
1995,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,0-4,9452
2000,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,0-4,8014
2005,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,0-4,7229
2010,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,0-4,6438
2015,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,0-4,4316
2020,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,0-4,19338
1990,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,0-4,5511
1995,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,0-4,3806
2000,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,0-4,1873
2005,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,0-4,1757
2010,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,0-4,2184
2015,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,0-4,2146
2020,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,0-4,2126
1990,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,0-4,12871
1995,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,0-4,7219
2000,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,0-4,1482
2005,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,0-4,1016
2010,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,0-4,2370
2015,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,0-4,3559
2020,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,0-4,3184
1990,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,0-4,100284
1995,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,0-4,59248
2000,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,0-4,116886
2005,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,0-4,32860
2010,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,0-4,207511
2015,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,0-4,133425
2020,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,0-4,159550
1990,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,0-4,9891
1995,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,0-4,11086
2000,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,0-4,11222
2005,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,0-4,12906
2010,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,0-4,30699
2015,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,0-4,48467
2020,Argentina,Argentina,AR,Both sexes combined,Ambos sexos combinados,0-4,65704
1990,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,0-4,4787
1995,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,0-4,6964
2000,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,0-4,9141
2005,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,0-4,12510
2010,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,0-4,15881
2015,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,0-4,16179
2020,Brazil,Brasil,BR,Both sexes combined,Ambos sexos combinados,0-4,55472
1990,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,0-4,9146
1995,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,0-4,13574
2000,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,0-4,5026
2005,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,0-4,7529
2010,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,0-4,32777
2015,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,0-4,15794
2020,Chile,Chile,CL,Both sexes combined,Ambos sexos combinados,0-4,32286
1990,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,0-4,12095
1995,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,0-4,11961
2000,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,0-4,11829
2005,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,0-4,11513
2010,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,0-4,14289
2015,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,0-4,17743
2020,Colombia,Colombia,CO,Both sexes combined,Ambos sexos combinados,0-4,213854
1990,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,0-4,3702
1995,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,0-4,7762
2000,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,0-4,12693
2005,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,0-4,17877
2010,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,0-4,36599
2015,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,0-4,36689
2020,Ecuador,Ecuador (el),EC,Both sexes combined,Ambos sexos combinados,0-4,79871
1990,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,0-4,443
1995,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,0-4,497
2000,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,0-4,549
2005,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,0-4,425
2010,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,0-4,156
2015,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,0-4,171
2020,Guyana,Guyana,GY,Both sexes combined,Ambos sexos combinados,0-4,1007
1990,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,0-4,10785
1995,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,0-4,9413
2000,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,0-4,8068
2005,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,0-4,6881
2010,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,0-4,5839
2015,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,0-4,5901
2020,Paraguay,Paraguay,PY,Both sexes combined,Ambos sexos combinados,0-4,6774
1990,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,0-4,3786
1995,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,0-4,3707
2000,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,0-4,4024
2005,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,0-4,5734
2010,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,0-4,4559
2015,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,0-4,5785
2020,Peru,Perú,PE,Both sexes combined,Ambos sexos combinados,0-4,122622
1990,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,0-4,3512
1995,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,0-4,3344
2000,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,0-4,3275
2005,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,0-4,3067
2010,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,0-4,4577
2015,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,0-4,4733
2020,Uruguay,Uruguay,UY,Both sexes combined,Ambos sexos combinados,0-4,8748
1990,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,0-4,576
1995,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,0-4,668
2000,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,0-4,789
2005,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,0-4,605
2010,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,0-4,424
2015,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,0-4,120
2020,Antigua and Barbuda,Antigua y Barbuda,AG,males,Hombres,0-4,125
1990,Cuba,Cuba,CU,males,Hombres,0-4,226
1995,Cuba,Cuba,CU,males,Hombres,0-4,196
2000,Cuba,Cuba,CU,males,Hombres,0-4,178
2005,Cuba,Cuba,CU,males,Hombres,0-4,79
2010,Cuba,Cuba,CU,males,Hombres,0-4,17
2015,Cuba,Cuba,CU,males,Hombres,0-4,33
2020,Cuba,Cuba,CU,males,Hombres,0-4,57
1990,Dominican Republic,República Dominicana,DO,males,Hombres,0-4,26761
1995,Dominican Republic,República Dominicana,DO,males,Hombres,0-4,20317
2000,Dominican Republic,República Dominicana,DO,males,Hombres,0-4,17205
2005,Dominican Republic,República Dominicana,DO,males,Hombres,0-4,13422
2010,Dominican Republic,República Dominicana,DO,males,Hombres,0-4,8710
2015,Dominican Republic,República Dominicana,DO,males,Hombres,0-4,9465
2020,Dominican Republic,República Dominicana,DO,males,Hombres,0-4,9137
1990,Costa Rica,Costa Rica,CR,males,Hombres,0-4,5678
1995,Costa Rica,Costa Rica,CR,males,Hombres,0-4,4899
2000,Costa Rica,Costa Rica,CR,males,Hombres,0-4,4141
2005,Costa Rica,Costa Rica,CR,males,Hombres,0-4,3654
2010,Costa Rica,Costa Rica,CR,males,Hombres,0-4,3198
2015,Costa Rica,Costa Rica,CR,males,Hombres,0-4,2132
2020,Costa Rica,Costa Rica,CR,males,Hombres,0-4,10913
1990,El Salvador,El Salvador,SV,males,Hombres,0-4,2720
1995,El Salvador,El Salvador,SV,males,Hombres,0-4,1913
2000,El Salvador,El Salvador,SV,males,Hombres,0-4,952
2005,El Salvador,El Salvador,SV,males,Hombres,0-4,897
2010,El Salvador,El Salvador,SV,males,Hombres,0-4,1130
2015,El Salvador,El Salvador,SV,males,Hombres,0-4,1115
2020,El Salvador,El Salvador,SV,males,Hombres,0-4,1102
1990,Honduras,Honduras,HN,males,Hombres,0-4,5785
1995,Honduras,Honduras,HN,males,Hombres,0-4,3239
2000,Honduras,Honduras,HN,males,Hombres,0-4,643
2005,Honduras,Honduras,HN,males,Hombres,0-4,491
2010,Honduras,Honduras,HN,males,Hombres,0-4,1265
2015,Honduras,Honduras,HN,males,Hombres,0-4,1905
2020,Honduras,Honduras,HN,males,Hombres,0-4,1700
1990,Mexico,México,MX,males,Hombres,0-4,50387
1995,Mexico,México,MX,males,Hombres,0-4,29797
2000,Mexico,México,MX,males,Hombres,0-4,59512
2005,Mexico,México,MX,males,Hombres,0-4,16794
2010,Mexico,México,MX,males,Hombres,0-4,105976
2015,Mexico,México,MX,males,Hombres,0-4,67597
2020,Mexico,México,MX,males,Hombres,0-4,80577
1990,Argentina,Argentina,AR,males,Hombres,0-4,4981
1995,Argentina,Argentina,AR,males,Hombres,0-4,5525
2000,Argentina,Argentina,AR,males,Hombres,0-4,5703
2005,Argentina,Argentina,AR,males,Hombres,0-4,6511
2010,Argentina,Argentina,AR,males,Hombres,0-4,15511
2015,Argentina,Argentina,AR,males,Hombres,0-4,24290
2020,Argentina,Argentina,AR,males,Hombres,0-4,33745
1990,Brazil,Brasil,BR,males,Hombres,0-4,2426
1995,Brazil,Brasil,BR,males,Hombres,0-4,3558
2000,Brazil,Brasil,BR,males,Hombres,0-4,4720
2005,Brazil,Brasil,BR,males,Hombres,0-4,6426
2010,Brazil,Brasil,BR,males,Hombres,0-4,8153
2015,Brazil,Brasil,BR,males,Hombres,0-4,8255
2020,Brazil,Brasil,BR,males,Hombres,0-4,28754
1990,Chile,Chile,CL,males,Hombres,0-4,4690
1995,Chile,Chile,CL,males,Hombres,0-4,6700
2000,Chile,Chile,CL,males,Hombres,0-4,2557
2005,Chile,Chile,CL,males,Hombres,0-4,3818
2010,Chile,Chile,CL,males,Hombres,0-4,16519
2015,Chile,Chile,CL,males,Hombres,0-4,8428
2020,Chile,Chile,CL,males,Hombres,0-4,16214
1990,Colombia,Colombia,CO,males,Hombres,0-4,6075
1995,Colombia,Colombia,CO,males,Hombres,0-4,6027
2000,Colombia,Colombia,CO,males,Hombres,0-4,5978
2005,Colombia,Colombia,CO,males,Hombres,0-4,5864
2010,Colombia,Colombia,CO,males,Hombres,0-4,7460
2015,Colombia,Colombia,CO,males,Hombres,0-4,9494
2020,Colombia,Colombia,CO,males,Hombres,0-4,107671
1990,Ecuador,Ecuador (el),EC,males,Hombres,0-4,1915
1995,Ecuador,Ecuador (el),EC,males,Hombres,0-4,4025
2000,Ecuador,Ecuador (el),EC,males,Hombres,0-4,6574
2005,Ecuador,Ecuador (el),EC,males,Hombres,0-4,9332
2010,Ecuador,Ecuador (el),EC,males,Hombres,0-4,19177
2015,Ecuador,Ecuador (el),EC,males,Hombres,0-4,19242
2020,Ecuador,Ecuador (el),EC,males,Hombres,0-4,40695
1990,Guyana,Guyana,GY,males,Hombres,0-4,211
1995,Guyana,Guyana,GY,males,Hombres,0-4,239
2000,Guyana,Guyana,GY,males,Hombres,0-4,267
2005,Guyana,Guyana,GY,males,Hombres,0-4,204
2010,Guyana,Guyana,GY,males,Hombres,0-4,79
2015,Guyana,Guyana,GY,males,Hombres,0-4,85
2020,Guyana,Guyana,GY,males,Hombres,0-4,394
1990,Paraguay,Paraguay,PY,males,Hombres,0-4,5521
1995,Paraguay,Paraguay,PY,males,Hombres,0-4,4869
2000,Paraguay,Paraguay,PY,males,Hombres,0-4,4203
2005,Paraguay,Paraguay,PY,males,Hombres,0-4,3591
2010,Paraguay,Paraguay,PY,males,Hombres,0-4,3051
2015,Paraguay,Paraguay,PY,males,Hombres,0-4,3083
2020,Paraguay,Paraguay,PY,males,Hombres,0-4,3556
1990,Peru,Perú,PE,males,Hombres,0-4,1939
1995,Peru,Perú,PE,males,Hombres,0-4,1838
2000,Peru,Perú,PE,males,Hombres,0-4,1888
2005,Peru,Perú,PE,males,Hombres,0-4,2948
2010,Peru,Perú,PE,males,Hombres,0-4,2275
2015,Peru,Perú,PE,males,Hombres,0-4,2913
2020,Peru,Perú,PE,males,Hombres,0-4,62382
1990,Uruguay,Uruguay,UY,males,Hombres,0-4,1803
1995,Uruguay,Uruguay,UY,males,Hombres,0-4,1690
2000,Uruguay,Uruguay,UY,males,Hombres,0-4,1646
2005,Uruguay,Uruguay,UY,males,Hombres,0-4,1528
2010,Uruguay,Uruguay,UY,males,Hombres,0-4,2358
2015,Uruguay,Uruguay,UY,males,Hombres,0-4,2427
2020,Uruguay,Uruguay,UY,males,Hombres,0-4,4471
1990,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,0-4,659
1995,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,0-4,839
2000,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,0-4,1036
2005,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,0-4,685
2010,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,0-4,411
2015,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,0-4,112
2020,Antigua and Barbuda,Antigua y Barbuda,AG,females,Mujeres,0-4,117
1990,Cuba,Cuba,CU,females,Mujeres,0-4,224
1995,Cuba,Cuba,CU,females,Mujeres,0-4,180
2000,Cuba,Cuba,CU,females,Mujeres,0-4,144
2005,Cuba,Cuba,CU,females,Mujeres,0-4,65
2010,Cuba,Cuba,CU,females,Mujeres,0-4,12
2015,Cuba,Cuba,CU,females,Mujeres,0-4,28
2020,Cuba,Cuba,CU,females,Mujeres,0-4,48
1990,Dominican Republic,República Dominicana,DO,females,Mujeres,0-4,16493
1995,Dominican Republic,República Dominicana,DO,females,Mujeres,0-4,13054
2000,Dominican Republic,República Dominicana,DO,females,Mujeres,0-4,11439
2005,Dominican Republic,República Dominicana,DO,females,Mujeres,0-4,10784
2010,Dominican Republic,República Dominicana,DO,females,Mujeres,0-4,8220
2015,Dominican Republic,República Dominicana,DO,females,Mujeres,0-4,8738
2020,Dominican Republic,República Dominicana,DO,females,Mujeres,0-4,9346
1990,Costa Rica,Costa Rica,CR,females,Mujeres,0-4,5245
1995,Costa Rica,Costa Rica,CR,females,Mujeres,0-4,4553
2000,Costa Rica,Costa Rica,CR,females,Mujeres,0-4,3873
2005,Costa Rica,Costa Rica,CR,females,Mujeres,0-4,3575
2010,Costa Rica,Costa Rica,CR,females,Mujeres,0-4,3240
2015,Costa Rica,Costa Rica,CR,females,Mujeres,0-4,2184
2020,Costa Rica,Costa Rica,CR,females,Mujeres,0-4,8425
1990,El Salvador,El Salvador,SV,females,Mujeres,0-4,2791
1995,El Salvador,El Salvador,SV,females,Mujeres,0-4,1893
2000,El Salvador,El Salvador,SV,females,Mujeres,0-4,921
2005,El Salvador,El Salvador,SV,females,Mujeres,0-4,860
2010,El Salvador,El Salvador,SV,females,Mujeres,0-4,1054
2015,El Salvador,El Salvador,SV,females,Mujeres,0-4,1031
2020,El Salvador,El Salvador,SV,females,Mujeres,0-4,1024
1990,Honduras,Honduras,HN,females,Mujeres,0-4,7086
1995,Honduras,Honduras,HN,females,Mujeres,0-4,3980
2000,Honduras,Honduras,HN,females,Mujeres,0-4,839
2005,Honduras,Honduras,HN,females,Mujeres,0-4,525
2010,Honduras,Honduras,HN,females,Mujeres,0-4,1105
2015,Honduras,Honduras,HN,females,Mujeres,0-4,1654
2020,Honduras,Honduras,HN,females,Mujeres,0-4,1484
1990,Mexico,México,MX,females,Mujeres,0-4,49897
1995,Mexico,México,MX,females,Mujeres,0-4,29451
2000,Mexico,México,MX,females,Mujeres,0-4,57374
2005,Mexico,México,MX,females,Mujeres,0-4,16066
2010,Mexico,México,MX,females,Mujeres,0-4,101535
2015,Mexico,México,MX,females,Mujeres,0-4,65828
2020,Mexico,México,MX,females,Mujeres,0-4,78973
1990,Argentina,Argentina,AR,females,Mujeres,0-4,4910
1995,Argentina,Argentina,AR,females,Mujeres,0-4,5561
2000,Argentina,Argentina,AR,females,Mujeres,0-4,5519
2005,Argentina,Argentina,AR,females,Mujeres,0-4,6395
2010,Argentina,Argentina,AR,females,Mujeres,0-4,15188
2015,Argentina,Argentina,AR,females,Mujeres,0-4,24177
2020,Argentina,Argentina,AR,females,Mujeres,0-4,31959
1990,Brazil,Brasil,BR,females,Mujeres,0-4,2361
1995,Brazil,Brasil,BR,females,Mujeres,0-4,3406
2000,Brazil,Brasil,BR,females,Mujeres,0-4,4421
2005,Brazil,Brasil,BR,females,Mujeres,0-4,6084
2010,Brazil,Brasil,BR,females,Mujeres,0-4,7728
2015,Brazil,Brasil,BR,females,Mujeres,0-4,7924
2020,Brazil,Brasil,BR,females,Mujeres,0-4,26718
1990,Chile,Chile,CL,females,Mujeres,0-4,4456
1995,Chile,Chile,CL,females,Mujeres,0-4,6874
2000,Chile,Chile,CL,females,Mujeres,0-4,2469
2005,Chile,Chile,CL,females,Mujeres,0-4,3711
2010,Chile,Chile,CL,females,Mujeres,0-4,16258
2015,Chile,Chile,CL,females,Mujeres,0-4,7366
2020,Chile,Chile,CL,females,Mujeres,0-4,16072
1990,Colombia,Colombia,CO,females,Mujeres,0-4,6020
1995,Colombia,Colombia,CO,females,Mujeres,0-4,5934
2000,Colombia,Colombia,CO,females,Mujeres,0-4,5851
2005,Colombia,Colombia,CO,females,Mujeres,0-4,5649
2010,Colombia,Colombia,CO,females,Mujeres,0-4,6829
2015,Colombia,Colombia,CO,females,Mujeres,0-4,8249
2020,Colombia,Colombia,CO,females,Mujeres,0-4,106183
1990,Ecuador,Ecuador (el),EC,females,Mujeres,0-4,1787
1995,Ecuador,Ecuador (el),EC,females,Mujeres,0-4,3737
2000,Ecuador,Ecuador (el),EC,females,Mujeres,0-4,6119
2005,Ecuador,Ecuador (el),EC,females,Mujeres,0-4,8545
2010,Ecuador,Ecuador (el),EC,females,Mujeres,0-4,17422
2015,Ecuador,Ecuador (el),EC,females,Mujeres,0-4,17447
2020,Ecuador,Ecuador (el),EC,females,Mujeres,0-4,39176
1990,Guyana,Guyana,GY,females,Mujeres,0-4,232
1995,Guyana,Guyana,GY,females,Mujeres,0-4,258
2000,Guyana,Guyana,GY,females,Mujeres,0-4,282
2005,Guyana,Guyana,GY,females,Mujeres,0-4,221
2010,Guyana,Guyana,GY,females,Mujeres,0-4,77
2015,Guyana,Guyana,GY,females,Mujeres,0-4,86
2020,Guyana,Guyana,GY,females,Mujeres,0-4,613
1990,Paraguay,Paraguay,PY,females,Mujeres,0-4,5264
1995,Paraguay,Paraguay,PY,females,Mujeres,0-4,4544
2000,Paraguay,Paraguay,PY,females,Mujeres,0-4,3865
2005,Paraguay,Paraguay,PY,females,Mujeres,0-4,3290
2010,Paraguay,Paraguay,PY,females,Mujeres,0-4,2788
2015,Paraguay,Paraguay,PY,females,Mujeres,0-4,2818
2020,Paraguay,Paraguay,PY,females,Mujeres,0-4,3218
1990,Peru,Perú,PE,females,Mujeres,0-4,1847
1995,Peru,Perú,PE,females,Mujeres,0-4,1869
2000,Peru,Perú,PE,females,Mujeres,0-4,2136
2005,Peru,Perú,PE,females,Mujeres,0-4,2786
2010,Peru,Perú,PE,females,Mujeres,0-4,2284
2015,Peru,Perú,PE,females,Mujeres,0-4,2872
2020,Peru,Perú,PE,females,Mujeres,0-4,60240
1990,Uruguay,Uruguay,UY,females,Mujeres,0-4,1709
1995,Uruguay,Uruguay,UY,females,Mujeres,0-4,1654
2000,Uruguay,Uruguay,UY,females,Mujeres,0-4,1629
2005,Uruguay,Uruguay,UY,females,Mujeres,0-4,1539
2010,Uruguay,Uruguay,UY,females,Mujeres,0-4,2219
2015,Uruguay,Uruguay,UY,females,Mujeres,0-4,2306
2020,Uruguay,Uruguay,UY,females,Mujeres,0-4,4277
1990,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,5-9,764
1995,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,5-9,1120
2000,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,5-9,1130
2005,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,5-9,1210
2010,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,5-9,1090
2015,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,5-9,914
2020,Antigua and Barbuda,Antigua y Barbuda,AG,Both sexes combined,Ambos sexos combinados,5-9,325
1990,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,5-9,436
1995,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,5-9,353
2000,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,5-9,288
2005,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,5-9,233
2010,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,5-9,77
2015,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,5-9,67
2020,Cuba,Cuba,CU,Both sexes combined,Ambos sexos combinados,5-9,99
1990,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,5-9,31596
1995,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,5-9,29101
2000,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,5-9,22618
2005,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,5-9,17480
2010,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,5-9,17671
2015,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,5-9,19491
2020,Dominican Republic,República Dominicana,DO,Both sexes combined,Ambos sexos combinados,5-9,19084
1990,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,5-9,29394
1995,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,5-9,25680
2000,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,5-9,21948
2005,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,5-9,17515
2010,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,5-9,13062
2015,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,5-9,7142
2020,Costa Rica,Costa Rica,CR,Both sexes combined,Ambos sexos combinados,5-9,20905
1990,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,5-9,9193
1995,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,5-9,3740
2000,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,5-9,1937
2005,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,5-9,2308
2010,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,5-9,1169
2015,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,5-9,1358
2020,El Salvador,El Salvador,SV,Both sexes combined,Ambos sexos combinados,5-9,1859
1990,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,5-9,15661
1995,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,5-9,8802
2000,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,5-9,1821
2005,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,5-9,1406
2010,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,5-9,2226
2015,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,5-9,4531
2020,Honduras,Honduras,HN,Both sexes combined,Ambos sexos combinados,5-9,3633
1990,Mexico,México,MX,Both sexes combined,Ambos sexos combinados,5-9,99772
